target,best_state,best_Rdep,cs_spread,cs_rel_drop,cs_flag,n_slices_ident,Rdep_overall,Rdep_Rest,Rdep_Stim8hr,Rdep_Stim48hr
PLXNA3,Stim48hr,0.0847,0.0794,0.9376,False,3,0.0795,0.031,0.0053,0.0847
PTCD3,Stim8hr,0.1762,0.0794,0.4507,False,2,0.268,0.0968,0.1762,NA
PRP4K,Rest,0.1456,0.0794,0.5452,False,3,0.2156,0.1456,0.0667,0.0662
CRABP2,Stim48hr,0.1333,0.0793,0.5952,False,3,0.1628,0.0925,0.054,0.1333
SLC10A3,Rest,0.0849,0.0789,0.9299,False,2,0.0903,0.0849,0.006,NA
SPIDR,Stim8hr,0.103,0.0786,0.7635,False,3,0.1426,0.0244,0.103,0.0708
SMTN,Stim48hr,0.0894,0.0785,0.8777,False,3,0.0855,0.0109,0.0524,0.0894
ZNF131,Stim48hr,0.1059,0.0783,0.7394,False,3,0.1824,0.0812,0.0276,0.1059
BAHD1,Stim48hr,0.0874,0.0782,0.8953,False,3,0.0883,0.0092,0.0499,0.0874
NPC2,Stim48hr,0.1207,0.078,0.6463,False,3,0.132,0.0679,0.0427,0.1207
EIF2B3,Stim8hr,0.1445,0.078,0.5398,False,3,0.2436,0.1404,0.1445,0.0665
FOXP2,Rest,0.0937,0.078,0.8321,False,3,0.0992,0.0937,0.0537,0.0157
MNT,Rest,0.0828,0.0779,0.941,False,2,0.079,0.0828,NA,0.0049
RRP36,Stim8hr,0.1449,0.0778,0.537,False,3,0.263,0.0671,0.1449,0.1212
CFAP97,Rest,0.0825,0.0775,0.9388,False,3,0.0405,0.0825,0.043,0.005
MNAT1,Rest,0.1669,0.0775,0.4642,False,3,0.2625,0.1669,0.1318,0.0894
EZR,Rest,0.0804,0.0773,0.9605,False,3,0.1083,0.0804,0.0032,0.0458
TAF13,Stim8hr,0.2128,0.0772,0.363,False,3,0.2603,0.1741,0.2128,0.1355
PWP1,Stim48hr,0.1932,0.0771,0.399,False,3,0.2998,0.159,0.1161,0.1932
PANK4,Stim8hr,0.1255,0.0768,0.6119,False,3,0.2113,0.0939,0.1255,0.0487
CDC25A,Rest,0.1486,0.0767,0.5162,False,3,0.1821,0.1486,0.124,0.0719
EED,Rest,0.0883,0.0767,0.8677,False,3,0.0794,0.0883,0.0131,0.0117
RPL28,Rest,0.118,0.0766,0.6497,False,3,0.1864,0.118,0.0413,0.076
YRDC,Stim8hr,0.0885,0.0766,0.8658,False,3,0.1144,0.0579,0.0885,0.0119
NOL6,Stim8hr,0.0873,0.0766,0.8775,False,3,0.1057,0.0202,0.0873,0.0107
DNPH1,Stim48hr,0.0844,0.0765,0.9064,False,3,0.0948,0.0079,0.0816,0.0844
NHP2,Stim8hr,0.1652,0.0763,0.462,False,2,0.2472,NA,0.1652,0.0889
RPS2,Stim8hr,0.1136,0.0763,0.6718,False,3,0.1931,0.0881,0.1136,0.0373
MAP3K7CL,Stim8hr,0.1029,0.0763,0.7413,False,2,NA,NA,0.1029,0.0266
RHOA,Stim8hr,0.1391,0.0762,0.5481,False,3,0.192,0.0919,0.1391,0.0628
CSK,Rest,0.1639,0.0762,0.465,False,3,0.21,0.1639,0.1575,0.0877
CAND1,Stim8hr,0.1642,0.0762,0.4639,False,3,0.2082,0.1262,0.1642,0.088
MAD1L1,Rest,0.1232,0.0761,0.6178,False,3,0.1906,0.1232,0.0748,0.0471
CEP350,Rest,0.0774,0.0761,0.9834,False,3,0.0926,0.0774,0.0013,0.033
SUZ12,Stim8hr,0.141,0.0761,0.5397,False,3,0.2448,0.1171,0.141,0.0649
PGLS,Stim48hr,0.1143,0.076,0.665,False,3,0.186,0.0383,0.1023,0.1143
GTPBP10,Stim48hr,0.0784,0.0758,0.967,False,3,0.0399,0.0435,0.0026,0.0784
EIF3F,Stim8hr,0.1197,0.0756,0.6316,False,3,0.1868,0.0735,0.1197,0.0441
MPND,Stim8hr,0.1007,0.0756,0.7505,False,3,0.1593,0.0257,0.1007,0.0251
SLC24A1,Rest,0.1505,0.0754,0.5014,True,3,0.1735,0.1505,0.075,0.0981
CPA5,Rest,0.0854,0.0754,0.8824,False,3,0.0957,0.0854,0.0186,0.01
NOP53,Stim8hr,0.1133,0.0753,0.6649,False,3,0.1735,0.038,0.1133,0.0534
MRPS5,Stim48hr,0.0805,0.0753,0.935,False,2,0.0468,NA,0.0052,0.0805
ATIC,Stim48hr,0.1317,0.0752,0.571,False,2,0.1724,NA,0.0565,0.1317
MAPK14,Rest,0.0819,0.0751,0.9171,False,3,0.0914,0.0819,0.0068,0.0246
CDK7,Rest,0.1212,0.0751,0.6194,False,3,0.1751,0.1212,0.0461,0.0537
WBP1,Rest,0.0881,0.0751,0.8523,False,3,0.1002,0.0881,0.0574,0.013
QTRT1,Rest,0.0801,0.0751,0.9369,False,3,0.0948,0.0801,0.0051,0.0169
ATP5MF,Stim48hr,0.1028,0.0749,0.7279,False,3,0.1015,0.028,0.0392,0.1028
PSMG4,Rest,0.0842,0.0748,0.8875,False,2,0.1139,0.0842,0.0095,NA
BHLHE40,Stim8hr,0.1482,0.0747,0.5042,False,3,0.187,0.0735,0.1482,0.1079
KIN,Stim8hr,0.1559,0.0747,0.479,False,2,0.2279,NA,0.1559,0.0812
ABCB7,Stim8hr,0.1025,0.0746,0.7283,False,3,0.1805,0.0278,0.1025,0.0866
