"gene","s2_T","s2_TG","s2_TD","s2_res","share_T","share_TG","share_TD","share_res"
"ENSG00000138646",0.0121972604003035,0.0342217066671996,0.0369229520162614,0.667158872254736,0.016252161944493,0.0455984951143968,0.0491977522773962,0.888951590663714
"ENSG00000138650",0,0,2.01978042015759e-14,0.00789197333129883,0,0,2.55928439613723e-12,0.999999999997441
"ENSG00000138653",0,0,0,0.000142214870030346,0,0,0,1
"ENSG00000138658",0.0777735947954573,0.0896764787657209,0.081240468535293,0.770614047917165,0.0763006421803877,0.0879780976602109,0.0797018568651851,0.756019403294216
"ENSG00000138660",0.0387621644618482,0.0488432307242053,0.0406336675267598,0.635846561634936,0.0507301318421439,0.0639237660908744,0.0531794686772784,0.832166633389703
"ENSG00000138663",0.0237933980387365,0.0314355905794995,0.0327839126152442,0.506513792059726,0.0400207397029392,0.0528749859915815,0.0551428774941077,0.851961396811372
"ENSG00000138668",0.00358896950385408,0.00592188575831228,0.00806246068664882,0.131210785940684,0.0241219959543767,0.0398018718606804,0.0541889932073302,0.881887138977613
"ENSG00000138669",0,0.00330347531893563,0.00686895045693808,0.18006699785261,0,0.0173648303591738,0.0361068716774098,0.946528297963416
"ENSG00000138670",0.00457732229090264,0.0351140559354715,0.0360072774903894,0.712581991917926,0.00580671656045005,0.044545119864143,0.0456782461911664,0.90396991738424
"ENSG00000138674",0.00558347493011307,0.0132797797035466,0.0149226246632214,0.315939397847508,0.0159653170502967,0.0379720328252505,0.0426695627638616,0.903393087360591
"ENSG00000138675",0,0,0,0.00115341902905438,0,0,0,1
"ENSG00000138678",0.0793803603191377,0.142563991800779,0.153305290802095,0.977757649674939,0.0586695731452975,0.105368236062603,0.11330706910518,0.72265512168692
"ENSG00000138684",0.0156920116752669,0.0927013723398141,0.110400389756545,1.18615471776244,0.0111691010523331,0.0659820433976149,0.078579670658245,0.844269184891807
"ENSG00000138685",0.0131555542327631,0.0562841007221614,0.0655748017744123,0.736704294172312,0.0150915122786516,0.0645668120181479,0.0752247232339398,0.845116952469261
"ENSG00000138686",0.0640279569892228,0.0870699543359289,0.0745446166133882,0.751947000763206,0.0654957475600755,0.0890659645787728,0.0762534933372134,0.769184794523938
"ENSG00000138688",0.0427128729242933,0.066156912932716,0.0536395825932138,0.71000195423495,0.0489539468586419,0.0758235580589563,0.061477233817593,0.813745261264809
"ENSG00000138696",0,0,0,0.0104063023602887,0,0,0,1
"ENSG00000138698",0.0290792872675627,0.0315489598284879,0.0278389318326285,0.484185320519692,0.0507799883796445,0.0550926781230826,0.0486140056307192,0.845513327866554
"ENSG00000138709",0.0433920656721223,0.0767942000479487,0.0694456266574786,0.721267263721702,0.0476365197855055,0.0843059295134326,0.0762385453894435,0.791819005311618
"ENSG00000138722",0.000111000630437995,0.000143035864009096,0.000359229666622209,0.0643091024586345,0.00170974400346057,0.00220318307927055,0.00553321873892912,0.99055385417834
"ENSG00000138735",0,0.000594639481198951,0.000641597977457673,0.0816932094433023,0,0.00717042622871882,0.00773667257441359,0.985092901196868
"ENSG00000138738",0,0.00206996368102625,0.00403857744263261,0.124817266275496,0,0.0158102036729514,0.0308463054218191,0.95334349090523
"ENSG00000138741",7.22538772799125e-05,0.00353888327531609,0.00452382703074907,0.18977531390746,0.000365084006636386,0.0178812505821066,0.0228579691483908,0.958895696262866
"ENSG00000138744",0.0418196504936021,0.0644881449791488,0.0561010990011345,0.645539406319991,0.0517603050250997,0.0798171676526627,0.0694364960555156,0.798986031266722
"ENSG00000138750",0.0128305784412611,0.0231027403717608,0.0257340786518517,0.429106196805005,0.0261435794245391,0.0470741308039008,0.0524357442053014,0.874346545566259
"ENSG00000138755",0.00062500437124426,0.00142957713054452,0.00176310777283895,0.223307603720435,0.00275180435874152,0.00629422250464899,0.00776270995444471,0.983191263182165
"ENSG00000138756",0.0491004411093994,0.0767727932652129,0.0652594624675316,0.722666716898432,0.0537321871420447,0.0840149294372478,0.0714155223632684,0.790837361057439
"ENSG00000138757",0.00249218116227987,0.00415061059490871,0.00651404581038298,0.168808266474485,0.0136959290925575,0.0228099262040341,0.0357983243252916,0.927695820378117
"ENSG00000138758",0.0378310137344071,0.0878511908565922,0.106404260750771,0.740439943568948,0.0388997289819408,0.090332961708454,0.109410150486247,0.761357158823358
