target,view,n_guides,n_donors,E_t,R_guide,R_donor_shrunk,R_dep,S_t
FEZF1,Stim8hr,2,4,0.1396,0.0122,0.0505,0.0099,0.0014
KLF14,Stim8hr,2,4,0.2376,0.0318,0.0071,0.0058,0.0014
CHKA,Stim8hr,2,4,0.1843,0.0099,0.0299,0.0075,0.0014
CSF3R,Stim8hr,2,4,0.1548,0.014,0.0237,0.0089,0.0014
CLEC4A,Stim8hr,2,4,0.1585,0.0108,0.0412,0.0086,0.0014
CHPF,Stim8hr,2,4,0.1552,0.0179,0.017,0.0088,0.0014
NPHP3,Stim8hr,2,4,0.1508,0.0117,0.0383,0.0091,0.0014
ZFP82,Stim8hr,2,4,0.1379,0.0116,0.0629,0.0099,0.0014
DOK6,Stim8hr,2,4,0.1332,0.0144,0.0344,0.0102,0.0014
UQCC2,Stim8hr,2,4,0.4019,0.0035,0.0851,0.0034,0.0014
S100A5,Stim8hr,2,4,0.1324,0.0199,0.0208,0.0103,0.0014
CTPS2,Stim8hr,2,4,0.1404,0.0366,0.013,0.0097,0.0014
DNAJC5,Stim8hr,2,4,0.1432,0.0125,0.0377,0.0095,0.0014
EFCAB2,Stim8hr,2,4,0.1714,0.0111,0.0266,0.0079,0.0014
UBE2G2,Stim8hr,2,4,0.1974,0.0088,0.0303,0.0069,0.0014
TCFL5,Stim8hr,2,4,0.1387,0.0137,0.0329,0.0098,0.0014
RIMS3,Stim8hr,2,4,0.2167,0.0133,0.0115,0.0062,0.0013
PLCL1,Stim8hr,2,4,0.1402,0.0126,0.0386,0.0096,0.0013
TRIQK,Stim8hr,2,4,0.1675,0.0102,0.0369,0.008,0.0013
TXNDC15,Stim8hr,2,4,0.1506,0.0109,0.0466,0.0089,0.0013
NEK1,Stim8hr,2,4,0.1738,0.0106,0.028,0.0077,0.0013
TREX1,Stim8hr,2,4,0.1359,0.0155,0.0264,0.0099,0.0013
NDUFB2,Stim8hr,2,4,0.1606,0.0285,0.0117,0.0084,0.0013
RIPK2,Stim8hr,2,4,0.2005,0.0109,0.0171,0.0067,0.0013
TRIR,Stim8hr,2,4,0.2024,0.0073,0.063,0.0066,0.0013
SEMA6A,Stim8hr,2,4,0.144,0.0105,0.0713,0.0093,0.0013
RNF135,Stim8hr,2,4,0.138,0.0119,0.0487,0.0097,0.0013
TMA7,Stim8hr,2,4,0.137,0.0129,0.0382,0.0097,0.0013
CARD19,Stim8hr,2,4,0.1407,0.012,0.0432,0.0095,0.0013
ICAM1,Stim8hr,2,4,0.14,0.0131,0.0338,0.0095,0.0013
ZNF839,Stim8hr,2,4,0.1425,0.0119,0.0407,0.0093,0.0013
ATMIN,Stim8hr,2,4,0.1341,0.0121,0.0505,0.0099,0.0013
RDM1,Stim8hr,2,4,0.5817,0.0648,0.0024,0.0023,0.0013
SPINK4,Stim8hr,2,4,0.1956,0.008,0.0412,0.0067,0.0013
NUDT16L1,Stim8hr,2,4,0.1419,0.0474,0.0114,0.0093,0.0013
METTL13,Stim8hr,2,4,0.1464,0.0111,0.0458,0.009,0.0013
BABAM2,Stim8hr,2,4,0.1356,0.0115,0.0574,0.0097,0.0013
SCARB2,Stim8hr,2,4,0.1515,0.0117,0.0318,0.0086,0.0013
SREK1,Stim8hr,2,4,0.1585,0.0105,0.0361,0.0082,0.0013
P2RY14,Stim8hr,2,4,0.1376,0.0136,0.0303,0.0095,0.0013
HIF3A,Stim8hr,2,4,0.142,0.0147,0.0236,0.0092,0.0013
TBX2,Stim8hr,2,4,0.1361,0.0128,0.0358,0.0095,0.0013
WBP1L,Stim8hr,2,4,0.1656,0.01,0.0348,0.0078,0.0013
EXOC6B,Stim8hr,2,4,0.1851,0.0115,0.0175,0.007,0.0013
PHTF2,Stim8hr,2,4,0.1522,0.0177,0.016,0.0085,0.0013
STX6,Stim8hr,2,4,0.1506,0.0107,0.0415,0.0086,0.0013
RAP2B,Stim8hr,2,4,0.148,0.0111,0.0388,0.0087,0.0013
NEFM,Stim8hr,2,4,0.1633,0.0088,0.0675,0.0079,0.0013
RPL41,Stim8hr,2,4,0.1458,0.0165,0.0185,0.0088,0.0013
FAM193B,Stim8hr,2,4,0.1468,0.0121,0.0304,0.0087,0.0013
DHX58,Stim8hr,2,4,0.1318,0.0133,0.0353,0.0097,0.0013
LHX3,Stim8hr,2,4,0.1684,0.0125,0.0188,0.0076,0.0013
NCR3,Stim8hr,2,4,0.2528,0.0081,0.0133,0.005,0.0013
PTBP2,Stim8hr,2,4,0.1698,0.011,0.0227,0.0075,0.0013
KLF11,Stim8hr,2,4,0.2284,0.0666,0.006,0.0056,0.0013
RYR3,Stim8hr,2,4,0.1377,0.0114,0.0458,0.0092,0.0013
RAB7A,Stim8hr,2,4,0.1591,0.0109,0.0287,0.008,0.0013
CTNND1,Stim8hr,2,4,0.1469,0.0125,0.0271,0.0086,0.0013
ZNF232,Stim8hr,2,4,0.181,0.0083,0.0424,0.007,0.0013
LHFPL5,Stim8hr,2,4,0.1371,0.0286,0.0134,0.0092,0.0013
RNF170,Stim8hr,2,3,0.1676,0.0093,0.0379,0.0075,0.0013
DMRT3,Stim8hr,2,3,0.3562,0.0046,0.0155,0.0035,0.0013
PTGR1,Stim8hr,2,4,0.1542,0.0246,0.012,0.0082,0.0013
SGMS1,Stim8hr,2,4,0.146,0.0107,0.0421,0.0086,0.0013
GADD45G,Stim8hr,2,4,0.2037,0.0077,0.03,0.0062,0.0013
FGF9,Stim8hr,2,4,0.2404,0.0059,0.0434,0.0052,0.0013
PRR5L,Stim8hr,2,4,0.1466,0.0152,0.019,0.0085,0.0012
BCL6,Stim8hr,2,3,0.1603,0.0114,0.0241,0.0078,0.0012
AQP5,Stim8hr,2,4,0.1506,0.0102,0.0414,0.0083,0.0012
ACOX3,Stim8hr,2,4,0.1874,0.0096,0.0212,0.0066,0.0012
EZR,Stim8hr,2,4,0.3911,0.027,0.0036,0.0032,0.0012
KCNN4,Stim8hr,2,4,0.1466,0.0112,0.033,0.0084,0.0012
AGO3,Stim8hr,2,4,0.1479,0.0099,0.0503,0.0084,0.0012
HSF4,Stim8hr,2,4,0.1578,0.0126,0.0202,0.0078,0.0012
SIRT7,Stim8hr,2,4,0.1537,0.01,0.0391,0.008,0.0012
ALG9,Stim8hr,2,4,0.168,0.0105,0.0236,0.0073,0.0012
TNFAIP1,Stim8hr,2,4,0.1843,0.0085,0.0295,0.0067,0.0012
C2orf76,Stim8hr,2,4,0.1562,0.0111,0.0258,0.0078,0.0012
CCPG1,Stim8hr,2,4,0.1811,0.0087,0.0291,0.0068,0.0012
STEAP4,Stim8hr,2,4,0.1464,0.0147,0.0189,0.0083,0.0012
MC1R,Stim8hr,2,4,0.1404,0.0179,0.0166,0.0087,0.0012
GK5,Stim8hr,2,4,0.3065,0.0061,0.0114,0.004,0.0012
SYNE3,Stim8hr,2,4,0.1768,0.0102,0.0211,0.0069,0.0012
NR1H3,Stim8hr,2,4,0.1509,0.0161,0.016,0.0081,0.0012
HDGFL2,Stim8hr,2,4,0.1499,0.0095,0.0539,0.0081,0.0012
GNG4,Stim8hr,2,4,0.1418,0.0105,0.0451,0.0086,0.0012
FAM13A,Stim8hr,2,4,0.1443,0.0272,0.0121,0.0084,0.0012
SAMD8,Stim8hr,2,4,0.1322,0.012,0.0374,0.0092,0.0012
DCAF17,Stim8hr,2,4,0.1296,0.0144,0.0261,0.0093,0.0012
POLL,Stim8hr,2,4,0.1493,0.0108,0.0313,0.0081,0.0012
ZNF35,Stim8hr,2,4,0.1774,0.0162,0.0114,0.0067,0.0012
MAPK1IP1L,Stim8hr,2,4,0.1607,0.0096,0.032,0.0074,0.0012
GATD1,Stim8hr,2,4,0.1597,0.0093,0.037,0.0075,0.0012
DBX1,Stim8hr,2,4,0.1538,0.0097,0.0379,0.0078,0.0012
MTERF4,Stim8hr,2,4,0.1348,0.0105,0.0541,0.0089,0.0012
FBXO40,Stim8hr,2,4,0.165,0.0132,0.0157,0.0072,0.0012
UBE4B,Stim8hr,2,4,0.1955,0.0071,0.0397,0.0061,0.0012
GUCA2A,Stim8hr,2,4,0.259,0.0049,0.0577,0.0046,0.0012
TPGS1,Stim8hr,2,4,0.1451,0.0305,0.0109,0.0081,0.0012
METTL25,Stim8hr,2,4,0.1385,0.0105,0.0424,0.0085,0.0012
RGS6,Stim8hr,2,4,0.2152,0.0439,0.0062,0.0055,0.0012
MGRN1,Stim8hr,2,4,0.1332,0.0183,0.0166,0.0088,0.0012
HOXC10,Stim8hr,2,4,0.164,0.0327,0.009,0.0071,0.0012
YIPF2,Stim8hr,2,4,0.1928,0.0083,0.0218,0.0061,0.0012
RDH13,Stim8hr,2,4,0.1564,0.0081,0.0829,0.0074,0.0012
SLC29A3,Stim8hr,2,4,0.2809,0.0051,0.0213,0.0041,0.0012
MACF1,Stim8hr,2,4,0.2466,0.0121,0.0077,0.0047,0.0012
STX1B,Stim8hr,2,4,0.1345,0.0105,0.045,0.0086,0.0012
UBXN11,Stim8hr,2,4,0.153,0.0106,0.0257,0.0076,0.0012
BCLAF3,Stim8hr,2,4,0.2919,0.0047,0.0234,0.0039,0.0012
ZNF578,Stim8hr,2,4,0.1575,0.0098,0.0274,0.0073,0.0011
ZBTB47,Stim8hr,2,4,0.1655,0.0081,0.045,0.0069,0.0011
SBK1,Stim8hr,2,4,0.1345,0.0226,0.0134,0.0085,0.0011
CEP41,Stim8hr,2,4,0.157,0.009,0.0374,0.0073,0.0011
H6PD,Stim8hr,2,4,0.1357,0.0124,0.0253,0.0084,0.0011
MTRFR,Stim8hr,2,4,0.1606,0.0098,0.0251,0.0071,0.0011
H2BC10,Stim8hr,2,4,0.17,0.0107,0.0175,0.0067,0.0011
MCF2L,Stim8hr,2,4,0.1317,0.0111,0.0366,0.0086,0.0011
TEX264,Stim8hr,2,4,0.1332,0.0108,0.0391,0.0085,0.0011
ZSCAN10,Stim8hr,2,4,0.1907,0.008,0.0227,0.0059,0.0011
MRPS25,Stim8hr,2,4,0.1562,0.009,0.0357,0.0072,0.0011
XAF1,Stim8hr,2,4,0.1384,0.0091,0.0712,0.0082,0.0011
ULK2,Stim8hr,2,4,0.1686,0.0113,0.0159,0.0066,0.0011
PLCB2,Stim8hr,2,4,0.196,0.0144,0.0094,0.0057,0.0011
CLECL1P,Stim8hr,2,4,0.1498,0.01,0.0284,0.0075,0.0011
SDCCAG8,Stim8hr,2,4,0.14,0.0089,0.073,0.008,0.0011
MYB,Stim8hr,2,4,0.2442,0.0049,0.059,0.0046,0.0011
CD69,Stim8hr,2,4,0.1368,0.0102,0.0388,0.0081,0.0011
PEX11G,Stim8hr,2,4,0.1381,0.0105,0.0334,0.0081,0.0011
NFIX,Stim8hr,2,4,0.1541,0.0088,0.0385,0.0072,0.0011
PFKFB4,Stim8hr,2,4,0.1415,0.0095,0.0419,0.0078,0.0011
FEV,Stim8hr,2,3,0.1644,0.0077,0.0484,0.0067,0.0011
BIN2,Stim8hr,2,4,0.1356,0.0098,0.0444,0.0081,0.0011
YWHAH,Stim8hr,2,4,0.565,0.0025,0.009,0.0019,0.0011
NDRG3,Stim8hr,2,4,0.1907,0.0065,0.0442,0.0057,0.0011
IRX1,Stim8hr,2,4,0.1741,0.0078,0.03,0.0063,0.0011
FOXM1,Stim8hr,2,4,0.1883,0.0078,0.0221,0.0058,0.0011
NPIPB5,Stim8hr,2,4,0.1966,0.0072,0.0232,0.0055,0.0011
PCBP2,Stim8hr,2,4,0.2301,0.005,0.0635,0.0047,0.0011
VIPAS39,Stim8hr,2,4,0.1681,0.0073,0.0474,0.0064,0.0011
GOLGB1,Stim8hr,2,4,0.1559,0.0135,0.0138,0.0069,0.0011
FDFT1,Stim8hr,2,4,0.1474,0.009,0.0369,0.0073,0.0011
PLPP6,Stim8hr,2,4,0.1749,0.0076,0.0309,0.0061,0.0011
ZNF471,Stim8hr,2,4,0.179,0.0077,0.0256,0.006,0.0011
MIA3,Stim8hr,2,4,0.1641,0.0081,0.031,0.0065,0.0011
MRPS5,Stim8hr,2,4,0.2035,0.0058,0.0536,0.0052,0.0011
METTL15,Stim8hr,2,4,0.1965,0.0066,0.0296,0.0054,0.0011
ALMS1,Stim8hr,2,4,0.1308,0.0105,0.0344,0.0081,0.0011
HCAR1,Stim8hr,2,4,0.1405,0.0113,0.0222,0.0076,0.0011
EGFL7,Stim8hr,2,4,0.1414,0.0086,0.0572,0.0075,0.0011
RNF34,Stim8hr,2,4,0.1897,0.0068,0.0293,0.0056,0.0011
LGR6,Stim8hr,2,4,0.1367,0.009,0.053,0.0077,0.0011
ALKBH3,Stim8hr,2,3,0.1602,0.0097,0.0201,0.0066,0.0011
SWSAP1,Stim8hr,2,4,0.1483,0.0101,0.0239,0.0071,0.0011
PLEKHB1,Stim8hr,2,4,0.1526,0.0088,0.0316,0.0069,0.0011
CCDC92,Stim8hr,2,4,0.162,0.0086,0.0264,0.0065,0.0011
PGM1,Stim8hr,2,4,0.1591,0.0084,0.0303,0.0066,0.0011
CNN2,Stim8hr,2,4,0.3278,0.0592,0.0034,0.0032,0.001
LAIR2,Stim8hr,2,4,0.3693,0.003,0.0417,0.0028,0.001
DAG1,Stim8hr,2,4,0.1509,0.0079,0.0509,0.0069,0.001
RELCH,Stim8hr,2,4,0.1463,0.0087,0.0382,0.0071,0.001
KRT73,Stim8hr,2,4,0.2142,0.008,0.0121,0.0049,0.001
OBI1,Stim8hr,2,4,0.134,0.0087,0.0668,0.0078,0.001
ZNF250,Stim8hr,2,4,0.1341,0.01,0.0333,0.0078,0.001
GPRC5A,Stim8hr,2,4,0.1494,0.0082,0.0447,0.007,0.001
SEMA3G,Stim8hr,2,4,0.1708,0.031,0.0075,0.0061,0.001
ATG4A,Stim8hr,2,4,0.1696,0.0073,0.0343,0.0061,0.001
SIX6,Stim8hr,2,4,0.1449,0.0079,0.0609,0.0071,0.001
EVI5,Stim8hr,2,4,0.1407,0.0101,0.0256,0.0073,0.001
RPL30,Stim8hr,2,2,1.0607,0.001,0.0298,0.001,0.001
SLC25A4,Stim8hr,2,4,0.188,0.0085,0.015,0.0054,0.001
MAST2,Stim8hr,2,4,0.2121,0.0059,0.0249,0.0048,0.001
TTC39C,Stim8hr,2,4,0.1759,0.0145,0.0094,0.0057,0.001
ZFP37,Stim8hr,2,4,0.1599,0.0087,0.0223,0.0063,0.001
CHAC1,Stim8hr,2,4,0.1439,0.0094,0.0262,0.007,0.001
FCRLA,Stim8hr,2,4,0.139,0.0087,0.0403,0.0072,0.001
HARBI1,Stim8hr,2,4,0.1468,0.0077,0.0524,0.0068,0.001
CAP1,Stim8hr,2,4,0.2998,0.0869,0.0034,0.0033,0.001
RAD51B,Stim8hr,2,4,0.2143,0.005,0.047,0.0046,0.001
ADH5,Stim8hr,2,4,0.1802,0.0074,0.0198,0.0054,0.001
SYCP2,Stim8hr,2,4,0.1435,0.0113,0.0168,0.0068,0.001
NUDT9,Stim8hr,2,4,0.1471,0.008,0.0357,0.0066,0.001
OSBPL9,Stim8hr,2,4,0.1368,0.0098,0.0251,0.0071,0.001
COL6A2,Stim8hr,2,4,0.1835,0.0073,0.019,0.0053,0.001
LACTB2,Stim8hr,2,4,0.1401,0.0088,0.0313,0.0069,0.001
SLC39A8,Stim8hr,2,4,0.1534,0.0073,0.0439,0.0063,0.001
ZNF629,Stim8hr,2,4,0.1711,0.0259,0.0072,0.0056,0.001
ATP8B4,Stim8hr,2,4,0.1403,0.0079,0.0491,0.0069,0.001
PCDH12,Stim8hr,2,4,0.1578,0.0084,0.0219,0.0061,0.001
PLD2,Stim8hr,2,4,0.131,0.0087,0.044,0.0073,0.001
SLC25A24,Stim8hr,2,4,0.186,0.0105,0.0099,0.0051,0.001
PIMREG,Stim8hr,2,4,0.1391,0.0077,0.0574,0.0068,0.001
PC,Stim8hr,2,4,0.1452,0.0107,0.0166,0.0065,0.0009
GTPBP1,Stim8hr,2,4,0.1512,0.0068,0.0733,0.0063,0.0009
STK11IP,Stim8hr,2,4,0.1759,0.0112,0.0101,0.0054,0.0009
HSF5,Stim8hr,2,4,0.1682,0.0077,0.0203,0.0056,0.0009
APOO,Stim8hr,2,4,0.1452,0.0117,0.0143,0.0065,0.0009
CARD8,Stim8hr,2,4,0.1392,0.0086,0.0304,0.0067,0.0009
S100A4,Stim8hr,2,4,0.1719,0.0069,0.0251,0.0054,0.0009
CCDC142,Stim8hr,2,4,0.1812,0.0062,0.0302,0.0052,0.0009
FOXD4L6,Stim8hr,2,4,0.1383,0.0079,0.0421,0.0067,0.0009
C4orf46,Stim8hr,2,4,0.135,0.0079,0.0512,0.0069,0.0009
ARL3,Stim8hr,2,4,0.1513,0.0083,0.0228,0.0061,0.0009
NMI,Stim8hr,2,4,0.1548,0.0068,0.0458,0.006,0.0009
TMUB1,Stim8hr,2,4,0.1315,0.0087,0.0347,0.007,0.0009
SIX1,Stim8hr,2,4,0.1701,0.0169,0.0079,0.0054,0.0009
ADAMTS17,Stim8hr,2,4,0.1573,0.0076,0.0246,0.0058,0.0009
DCST2,Stim8hr,2,4,0.2046,0.0172,0.006,0.0045,0.0009
LBX1,Stim8hr,2,4,0.142,0.0072,0.0591,0.0064,0.0009
TMEM154,Stim8hr,2,4,0.1401,0.0081,0.0324,0.0065,0.0009
ABCC3,Stim8hr,2,4,0.1403,0.0091,0.022,0.0065,0.0009
SLC25A44,Stim8hr,2,4,0.1469,0.0076,0.0316,0.0062,0.0009
RNF11,Stim8hr,2,4,0.1489,0.0069,0.0523,0.0061,0.0009
HES3,Stim8hr,2,4,0.1458,0.0102,0.0156,0.0062,0.0009
LRRC4,Stim8hr,2,4,0.1636,0.0256,0.007,0.0055,0.0009
PCBD2,Stim8hr,2,4,0.1488,0.0078,0.0266,0.0061,0.0009
NDRG1,Stim8hr,2,4,0.2034,0.0053,0.0263,0.0044,0.0009
TMEM33,Stim8hr,2,4,0.1731,0.0058,0.052,0.0052,0.0009
PALS2,Stim8hr,2,4,0.1445,0.0076,0.0342,0.0062,0.0009
TARBP2,Stim8hr,2,4,0.1591,0.0064,0.0468,0.0056,0.0009
ODF2,Stim8hr,2,4,0.1516,0.007,0.0357,0.0059,0.0009
TRIM17,Stim8hr,2,4,0.14,0.0073,0.0481,0.0064,0.0009
EHF,Stim8hr,2,4,0.1388,0.0112,0.0148,0.0064,0.0009
HLA-DPB1,Stim8hr,2,4,0.1243,0.0084,0.0466,0.0072,0.0009
DENND10,Stim8hr,2,4,0.13,0.0102,0.0203,0.0068,0.0009
APOL1,Stim8hr,2,4,0.2408,0.004,0.0429,0.0037,0.0009
C12orf43,Stim8hr,2,4,0.1585,0.0183,0.008,0.0056,0.0009
LAPTM4B,Stim8hr,2,4,0.1259,0.0078,0.07,0.007,0.0009
PYHIN1,Stim8hr,2,4,0.1322,0.0074,0.0643,0.0067,0.0009
SELENOK,Stim8hr,2,4,0.1387,0.0078,0.0331,0.0064,0.0009
PRTFDC1,Stim8hr,2,4,0.1501,0.0114,0.0119,0.0059,0.0009
C1QB,Stim8hr,2,4,0.1484,0.0069,0.0412,0.0059,0.0009
ARMC1,Stim8hr,2,4,0.1372,0.0072,0.0539,0.0064,0.0009
TCP11L1,Stim8hr,2,3,0.165,0.0069,0.0224,0.0053,0.0009
IFITM5,Stim8hr,2,4,0.1571,0.0067,0.0327,0.0056,0.0009
PCNX1,Stim8hr,2,4,0.1626,0.0078,0.0171,0.0054,0.0009
FAR2,Stim8hr,2,4,0.1479,0.0102,0.0138,0.0059,0.0009
GLIS2,Stim8hr,2,4,0.279,0.0034,0.0331,0.0031,0.0009
PAK3,Stim8hr,2,4,0.1305,0.0082,0.0336,0.0066,0.0009
RALGPS1,Stim8hr,2,4,0.1575,0.0086,0.0146,0.0054,0.0009
POLR2B,Stim8hr,2,2,0.2213,0.0044,0.0315,0.0039,0.0009
GOLM2,Stim8hr,2,4,0.1557,0.0083,0.0156,0.0055,0.0009
MTO1,Stim8hr,2,4,0.1875,0.0053,0.0292,0.0045,0.0009
ZNF121,Stim8hr,2,4,0.1442,0.0172,0.0089,0.0059,0.0009
PGP,Stim8hr,2,4,0.1501,0.0134,0.0096,0.0056,0.0008
GINM1,Stim8hr,2,4,0.2137,0.0041,0.0995,0.0039,0.0008
AGGF1,Stim8hr,2,4,0.1416,0.0068,0.0456,0.006,0.0008
SLC16A13,Stim8hr,2,4,0.1523,0.0063,0.0417,0.0055,0.0008
TEX30,Stim8hr,2,4,0.1575,0.0079,0.0161,0.0053,0.0008
ZNF45,Stim8hr,2,4,0.1811,0.0157,0.0065,0.0046,0.0008
CSKMT,Stim8hr,2,4,0.2152,0.0188,0.0049,0.0039,0.0008
RGS19,Stim8hr,2,4,0.1469,0.0067,0.0355,0.0057,0.0008
TCF12,Stim8hr,2,4,0.1914,0.0049,0.0378,0.0043,0.0008
RFESD,Stim8hr,2,4,0.1746,0.0061,0.0204,0.0047,0.0008
AK1,Stim8hr,2,4,0.192,0.0053,0.0223,0.0043,0.0008
BTBD8,Stim8hr,2,4,0.1359,0.0067,0.0557,0.006,0.0008
CABP4,Stim8hr,2,3,0.1392,0.0117,0.0118,0.0059,0.0008
ACER2,Stim8hr,2,4,0.1432,0.0063,0.0597,0.0057,0.0008
SPINT2,Stim8hr,2,4,0.1452,0.007,0.0287,0.0056,0.0008
CRYGS,Stim8hr,2,4,0.1884,0.0049,0.0348,0.0043,0.0008
SLC15A3,Stim8hr,2,4,0.145,0.0063,0.0516,0.0056,0.0008
PJVK,Stim8hr,2,4,0.1457,0.0162,0.0084,0.0055,0.0008
ARL6,Stim8hr,2,4,0.1769,0.0052,0.0354,0.0046,0.0008
ZXDB,Stim8hr,2,4,0.1612,0.0057,0.0369,0.005,0.0008
NLN,Stim8hr,2,4,0.1596,0.0059,0.0336,0.005,0.0008
UQCC3,Stim8hr,2,4,0.1471,0.0064,0.0364,0.0055,0.0008
NMRK1,Stim8hr,2,4,0.1471,0.0065,0.0322,0.0054,0.0008
CPM,Stim8hr,2,4,0.6804,0.0012,0.0792,0.0012,0.0008
CCDC57,Stim8hr,2,4,0.1516,0.0056,0.0693,0.0052,0.0008
ZNF287,Stim8hr,2,4,0.1368,0.0066,0.0459,0.0058,0.0008
CNST,Stim8hr,2,4,0.1857,0.0047,0.0398,0.0042,0.0008
TMEM44,Stim8hr,2,4,0.1351,0.0076,0.0248,0.0058,0.0008
ZNF343,Stim8hr,2,4,0.1459,0.0061,0.0408,0.0054,0.0008
VDR,Stim8hr,2,4,0.1822,0.0063,0.0132,0.0043,0.0008
SNAPC4,Stim8hr,2,4,0.2265,0.004,0.025,0.0035,0.0008
SPARCL1,Stim8hr,2,4,0.1372,0.0074,0.0246,0.0057,0.0008
MRPL24,Stim8hr,2,4,0.2632,0.0433,0.0031,0.0029,0.0008
GPC1,Stim8hr,2,4,0.14,0.0133,0.0094,0.0055,0.0008
BNC1,Stim8hr,2,4,0.2913,0.0043,0.0068,0.0027,0.0008
SALL2,Stim8hr,2,4,0.1924,0.0112,0.0062,0.004,0.0008
METTL4,Stim8hr,2,4,0.3787,0.1452,0.0021,0.002,0.0008
THAP7,Stim8hr,2,4,0.1373,0.006,0.0751,0.0056,0.0008
SOX4,Stim8hr,2,4,0.1293,0.0068,0.0432,0.0059,0.0008
TBL2,Stim8hr,2,4,0.1575,0.0059,0.0274,0.0049,0.0008
NDUFAF4,Stim8hr,2,4,0.3017,0.0066,0.0041,0.0025,0.0008
PLXNA3,Stim8hr,2,4,0.1448,0.006,0.0422,0.0053,0.0008
HIVEP1,Stim8hr,2,4,0.2012,0.0158,0.005,0.0038,0.0008
WASHC3,Stim8hr,2,4,0.1969,0.0042,0.0491,0.0039,0.0008
TCEAL2,Stim8hr,2,4,0.1389,0.0068,0.0275,0.0055,0.0008
DPH6,Stim8hr,2,4,0.2456,0.0033,0.0458,0.0031,0.0008
ABHD17A,Stim8hr,2,4,0.2503,0.0032,0.0581,0.003,0.0008
TMEM87B,Stim8hr,2,4,0.1902,0.0042,0.048,0.0039,0.0007
BHLHE22,Stim8hr,2,4,0.1654,0.0081,0.01,0.0045,0.0007
CXXC5,Stim8hr,2,4,0.1343,0.0068,0.0279,0.0055,0.0007
VANGL1,Stim8hr,2,4,0.1868,0.0055,0.014,0.0039,0.0007
KMT2E,Stim8hr,2,4,0.2254,0.0034,0.0632,0.0033,0.0007
FRMD3,Stim8hr,2,4,0.133,0.0074,0.0216,0.0055,0.0007
DLGAP5,Stim8hr,2,4,0.1363,0.0067,0.0272,0.0054,0.0007
CTSZ,Stim8hr,2,4,0.1675,0.0048,0.0468,0.0044,0.0007
ILRUN,Stim8hr,2,4,0.1531,0.0056,0.0302,0.0047,0.0007
SLC26A1,Stim8hr,2,4,0.138,0.0064,0.0286,0.0053,0.0007
HOXD10,Stim8hr,2,4,0.2676,0.003,0.0258,0.0027,0.0007
TRAF4,Stim8hr,2,4,0.1818,0.0046,0.0278,0.004,0.0007
CPLANE1,Stim8hr,2,4,0.2212,0.0038,0.0209,0.0032,0.0007
SUCO,Stim8hr,2,4,0.1837,0.0174,0.005,0.0039,0.0007
DYNLT1,Stim8hr,2,4,0.1606,0.0054,0.0227,0.0044,0.0007
KLHL17,Stim8hr,2,4,0.1278,0.0061,0.0513,0.0055,0.0007
TRAP1,Stim8hr,2,4,0.142,0.0057,0.0329,0.0049,0.0007
CAMK2N1,Stim8hr,2,4,0.1607,0.0046,0.0677,0.0043,0.0007
FHL2,Stim8hr,2,4,0.3621,0.0019,0.0774,0.0019,0.0007
UBE2J2,Stim8hr,2,4,0.1438,0.0249,0.0059,0.0048,0.0007
ZNF160,Stim8hr,2,4,0.1314,0.0061,0.0363,0.0052,0.0007
GORASP2,Stim8hr,2,4,0.2697,0.0027,0.0396,0.0025,0.0007
GTPBP10,Stim8hr,2,4,0.2631,0.0028,0.028,0.0026,0.0007
PNPLA8,Stim8hr,2,4,0.1654,0.0064,0.0113,0.0041,0.0007
CACNA1E,Stim8hr,2,4,0.1673,0.0057,0.0136,0.004,0.0007
PCED1B,Stim8hr,2,4,0.1696,0.0046,0.028,0.004,0.0007
ZNF862,Stim8hr,2,4,0.1457,0.0195,0.006,0.0046,0.0007
POU4F3,Stim8hr,2,4,0.1869,0.0044,0.0193,0.0036,0.0007
COPS9,Stim8hr,2,4,0.1555,0.0047,0.0546,0.0043,0.0007
TRIM35,Stim8hr,2,4,0.1384,0.0055,0.0355,0.0048,0.0007
EPB42,Stim8hr,2,4,0.1749,0.0044,0.0253,0.0038,0.0007
ZBTB43,Stim8hr,2,4,0.1411,0.0051,0.0481,0.0047,0.0007
TOMM40L,Stim8hr,2,4,0.1337,0.0053,0.0563,0.0049,0.0007
KCNH3,Stim8hr,2,4,0.1586,0.0056,0.0151,0.0041,0.0007
RPL22L1,Stim8hr,2,4,0.1523,0.0354,0.0048,0.0043,0.0007
CREM,Stim8hr,2,4,0.1478,0.0058,0.0179,0.0044,0.0007
CACNB1,Stim8hr,2,4,0.2195,0.0031,0.0475,0.003,0.0007
LOXL4,Stim8hr,2,4,0.1641,0.0049,0.0204,0.0039,0.0006
PAX8,Stim8hr,2,4,0.3537,0.0023,0.0089,0.0018,0.0006
UBE2L6,Stim8hr,2,4,0.1449,0.0052,0.03,0.0044,0.0006
NDC1,Stim8hr,2,4,0.1817,0.004,0.03,0.0035,0.0006
UACA,Stim8hr,2,4,0.1379,0.0051,0.0452,0.0046,0.0006
ZNF286B,Stim8hr,2,4,0.1362,0.0056,0.0274,0.0047,0.0006
TSPAN17,Stim8hr,2,4,0.1647,0.0042,0.0389,0.0038,0.0006
SP7,Stim8hr,2,4,0.1498,0.0075,0.0095,0.0042,0.0006
AOAH,Stim8hr,2,4,0.1468,0.0049,0.0344,0.0043,0.0006
