target,n_guides,E_t,R_t,R_status,S_t,rank_S,rank_E,rank_shift
NDUFAB1,2,1.11873,0.6787,ok,0.7593,34,245,211
TRMT5,2,1.10079,0.6871,ok,0.75636,35,257,222
SRPRA,2,1.23903,0.6101,ok,0.75596,36,170,134
ESF1,2,1.27012,0.5892,ok,0.74835,37,150,113
TOMM20,2,1.05243,0.7103,ok,0.74755,38,303,265
LONP1,2,1.17676,0.6348,ok,0.74706,39,212,173
RCL1,2,1.19667,0.6229,ok,0.74545,40,192,152
NOP2,2,1.25522,0.5915,ok,0.74251,41,159,118
RPL13A,2,1.73079,0.4288,ok,0.74224,42,14,-28
KARS1,2,1.3073,0.5677,ok,0.74218,43,130,87
LENG1,2,1.40812,0.5254,ok,0.73988,44,85,41
TACC3,2,1.54292,0.4793,ok,0.73953,45,38,-7
TIMM44,2,1.08227,0.6826,ok,0.73874,46,275,229
SPOUT1,2,1.27939,0.5742,ok,0.73456,47,145,98
TAF1C,2,1.31607,0.5581,ok,0.73447,48,126,78
FNTA,2,1.6605,0.4417,ok,0.73338,49,21,-28
RPS19BP1,2,1.27732,0.5735,ok,0.73253,50,146,96
NOP10,2,1.12763,0.6473,ok,0.72993,51,238,187
PAM16,2,1.19213,0.6103,ok,0.7275,52,199,147
ZCCHC9,2,1.18217,0.6144,ok,0.7263,53,209,156
RPS12,2,1.34691,0.5383,ok,0.72504,54,111,57
SDAD1,2,1.40872,0.5132,ok,0.72298,55,83,28
GEMIN5,2,1.86652,0.385,ok,0.71865,56,10,-46
METTL16,2,1.63472,0.4384,ok,0.71667,57,27,-30
TAF4,2,1.02975,0.6899,ok,0.71047,58,324,266
PALB2,2,1.39282,0.509,ok,0.70892,59,94,35
BOP1,2,1.372,0.5161,ok,0.70809,60,105,45
PTCD3,2,1.2052,0.5852,ok,0.70526,61,185,124
ERCC2,2,1.48729,0.4739,ok,0.70487,62,53,-9
RPF1,2,1.20668,0.5832,ok,0.70371,63,183,120
XPC,2,1.18901,0.5909,ok,0.70253,64,200,136
FCF1,2,1.36772,0.5073,ok,0.69388,65,108,43
RPL15,2,1.64981,0.4192,ok,0.69162,66,25,-41
ATP1A1,2,1.28269,0.5385,ok,0.69072,67,142,75
DCAF13,2,1.31382,0.5244,ok,0.68895,68,128,60
DDX52,2,1.19329,0.5773,ok,0.68888,69,197,128
DDX10,2,1.18732,0.5766,ok,0.68464,70,205,135
POLR1G,2,1.09963,0.6218,ok,0.68376,71,258,187
WDR74,2,1.50926,0.4527,ok,0.68329,72,44,-28
DLST,2,1.30496,0.5223,ok,0.68155,73,132,59
HSCB,2,1.30226,0.5225,ok,0.68039,74,133,59
NOPCHAP1,2,1.10812,0.6135,ok,0.67979,75,253,178
TMEM129,2,0.98232,0.6919,ok,0.67964,76,378,302
PSMC4,2,1.47576,0.458,ok,0.67582,77,59,-18
RPL34,2,1.66516,0.4057,ok,0.67562,78,20,-58
VMA21,2,1.1668,0.579,ok,0.67561,79,218,139
RAD9A,2,1.39942,0.4819,ok,0.67438,80,88,8
CPSF4,2,1.70877,0.3939,ok,0.67309,81,16,-65
CFDP1,2,1.78064,0.3766,ok,0.6706,82,12,-70
EPRS1,2,1.19556,0.5603,ok,0.66985,83,194,111
SPC25,2,1.91287,0.3477,ok,0.66514,84,7,-77
NOL10,2,1.38438,0.4803,ok,0.66498,85,98,13
UTP25,2,1.12212,0.592,ok,0.66424,86,240,154
CEBPZ,2,1.20497,0.5511,ok,0.66403,87,186,99
MIS18BP1,2,1.2441,0.5329,ok,0.66301,88,168,80
RPS15,2,1.47421,0.4493,ok,0.66235,89,60,-29
DUSP28,2,1.11902,0.5883,ok,0.65833,90,243,153
LSM2,2,1.37801,0.476,ok,0.65591,91,103,12
PRMT1,2,1.07185,0.6075,ok,0.6511,92,290,198
IP6K1,2,1.47099,0.4406,ok,0.64806,93,62,-31
EBNA1BP2,2,1.52176,0.4256,ok,0.6476,94,41,-53
DIMT1,2,1.01412,0.6378,ok,0.64683,95,340,245
NDUFA1,2,1.65824,0.3883,ok,0.64389,96,22,-74
TCOF1,2,1.21903,0.5271,ok,0.64257,97,179,82
ZC3H8,2,1.20309,0.5327,ok,0.64089,98,189,91
GNL3,2,1.16429,0.5494,ok,0.63961,99,221,122
PWP1,2,0.98988,0.6431,ok,0.63661,100,370,270
FBXW11,2,1.00741,0.6315,ok,0.63613,101,344,243
C5orf22,2,1.47884,0.4299,ok,0.63569,102,58,-44
UTP3,2,1.17214,0.5416,ok,0.63481,103,215,112
RPP40,2,1.07197,0.5918,ok,0.6344,104,289,185
NAA15,2,1.08279,0.5817,ok,0.62983,105,274,169
RPS21,2,1.11431,0.5643,ok,0.62878,106,248,142
KIN,2,1.15733,0.5423,ok,0.62762,107,223,116
GEMIN4,2,1.25815,0.4978,ok,0.62625,108,156,48
MED29,2,1.52777,0.4099,ok,0.62617,109,40,-69
RAD51C,2,1.21537,0.5149,ok,0.62573,110,182,72
BANF1,2,1.46723,0.4263,ok,0.62552,111,64,-47
NDUFAF7,2,0.98193,0.6353,ok,0.62383,112,380,268
RPP38,2,1.09436,0.5696,ok,0.62337,113,267,154
AAMP,2,1.00096,0.6226,ok,0.62315,114,350,236
TRNAU1AP,2,0.89393,0.6966,ok,0.62267,115,484,369
UBA1,2,1.55214,0.4002,ok,0.62117,116,37,-79
PPWD1,2,1.43908,0.4301,ok,0.61888,117,73,-44
SAMM50,2,1.24128,0.4981,ok,0.61831,118,169,51
E4F1,2,0.93247,0.6622,ok,0.61748,119,437,318
RPSA,2,1.38596,0.4425,ok,0.61335,120,97,-23
NHP2,2,1.10643,0.5527,ok,0.61158,121,255,134
POLR1C,2,1.1692,0.5225,ok,0.61094,122,217,95
TEX10,2,1.62209,0.3764,ok,0.61058,123,28,-95
SF3A1,2,1.42359,0.4279,ok,0.60914,124,80,-44
CHCHD4,2,0.95907,0.6326,ok,0.60668,125,412,287
