gene,s2_T,s2_TG,s2_TD,s2_res_raw,s2_me,s2_res_bio,share_T,share_TG,share_TD,share_res
ENSG00000146926,0.0,0.0,0.0,0.00109570322554462,0.000829,0.000267,0.0,0.0,0.0,1.0
ENSG00000146938,0.0,5.81658209746141e-06,2.19145212770122e-05,0.00276618659222877,0.002197,0.000569,0.0,0.00974,0.0367,0.95356
ENSG00000146950,0.0,4.45702146570916e-06,2.11384544537447e-05,0.00197021790060868,0.00136,0.000611,0.0,0.00701,0.03322,0.95977
ENSG00000146955,0.00132801024297749,0.00853519979270273,0.0103283037442337,0.341624076358989,0.336065,0.005559,0.05157,0.33146,0.40109,0.21588
ENSG00000146963,0.00150863131413001,0.00437570588857905,0.00715274349362114,0.181892617558106,0.094349,0.087544,0.015,0.0435,0.07111,0.87038
ENSG00000146966,8.44676791823276e-16,6.50151748803419e-07,0.0,0.00228500847244621,0.001857,0.000428,0.0,0.00152,0.0,0.99848
ENSG00000147003,0.00147462453706602,0.00404968028969426,0.00385989056821159,0.240804745563619,0.225723,0.015081,0.06027,0.16553,0.15777,0.61643
ENSG00000147010,0.0141691159572314,0.0202054047986411,0.0210628678431811,0.352162932084237,0.159733,0.19243,0.05716,0.08152,0.08498,0.77634
ENSG00000147027,2.29662635750861e-07,3.4517264165684e-06,0.0,0.0108616061642656,0.008743,0.002119,0.00011,0.00163,0.0,0.99827
ENSG00000147036,0.0,0.0118599631480713,0.0213270535218137,0.252832899754402,0.29568,0.0,0.0,0.35737,0.64263,0.0
ENSG00000147041,0.0,1.72768473644119e-06,5.75666549410478e-06,0.0012637868110676,0.001108,0.000156,0.0,0.01056,0.0352,0.95424
ENSG00000147044,0.0380011100945335,0.065216368390929,0.0643438092804755,0.747164849076772,0.583407,0.163758,0.1147,0.19684,0.19421,0.49426
ENSG00000147050,0.0247393473960456,0.0438120048931408,0.0390650858025197,0.594891140319577,0.406066,0.188825,0.08345,0.14779,0.13178,0.63697
ENSG00000147065,0.000630756489864046,0.00219269050795775,0.00343899069012896,0.0726825559973376,0.028412,0.04427,0.01248,0.04339,0.06805,0.87607
ENSG00000147081,1.49727500329327e-14,9.8585765559384e-07,0.0,0.000660416442053207,0.000833,0.0,0.0,1.0,0.0,0.0
ENSG00000147082,0.000421374247701398,0.00635913746741134,0.00606306580994911,0.282954560221493,0.285123,0.0,0.03281,0.49512,0.47207,0.0
ENSG00000147099,0.0312617319316026,0.0497880811443766,0.0435401812444543,0.58989356117846,0.373919,0.215975,0.09179,0.14619,0.12785,0.63417
ENSG00000147100,1.94157260428683e-13,0.000384903579606357,0.000736275451122524,0.0605803338147636,0.053783,0.006798,0.0,0.04861,0.09298,0.85842
ENSG00000147113,0.0,0.0,0.0,0.000409993599810698,0.000218,0.000192,0.0,0.0,0.0,1.0
ENSG00000147117,0.0,0.000213783601688068,0.00014646997029893,0.0543327416097911,0.053303,0.00103,0.0,0.15377,0.10535,0.74088
ENSG00000147118,0.0486674064406803,0.0729284638964378,0.0599562201677757,0.757999937107727,0.616303,0.141697,0.15056,0.22561,0.18548,0.43835
ENSG00000147119,0.0370834062639234,0.0792636815799416,0.0671457482974627,0.788709391670752,0.710823,0.077886,0.14188,0.30325,0.25689,0.29798
ENSG00000147121,0.0370912479597271,0.062291235287895,0.0511855766143789,0.763942468351628,0.670051,0.093892,0.15173,0.25481,0.20938,0.38408
ENSG00000147123,0.0243120158174587,0.0240287270374023,0.0279027983731342,0.437568455981283,0.225628,0.211941,0.08436,0.08338,0.09682,0.73543
ENSG00000147124,0.0631055609912209,0.0879008295750009,0.0689192475923184,0.76113643475249,0.613377,0.14776,0.17163,0.23907,0.18744,0.40186
ENSG00000147127,1.86943050333615e-08,2.0135660042375e-12,6.57391267071129e-14,0.000415869895027375,0.000516,0.0,0.99989,0.00011,0.0,0.0
ENSG00000147130,0.0536670903582902,0.0684890085276604,0.0586286962946712,0.699002102604937,0.490806,0.208196,0.13797,0.17607,0.15072,0.53523
ENSG00000147133,0.0314257846180187,0.0560525153560808,0.0489000599974012,0.678218590296799,0.47712,0.201099,0.09312,0.16609,0.1449,0.59589
ENSG00000147138,0.0316076161152305,0.0689965271537624,0.0697140870572632,0.745703232546436,0.539326,0.206378,0.08391,0.18316,0.18507,0.54786
ENSG00000147140,0.0243915799723018,0.0279517626558207,0.0262940351780921,0.452459218939843,0.285264,0.167196,0.09922,0.1137,0.10696,0.68012
ENSG00000147144,0.0161518756497261,0.0432597569273446,0.0359610131058527,0.657819706570384,0.634201,0.023619,0.13574,0.36355,0.30222,0.19849
ENSG00000147145,7.86566853814837e-12,5.77470715157431e-05,0.000156504339555808,0.0171242227279622,0.015024,0.0021,0.0,0.02495,0.06763,0.90741
ENSG00000147155,0.0625298582367221,0.0522610898979776,0.0465294540633308,0.496052173372375,0.299201,0.196851,0.17458,0.14591,0.12991,0.5496
